algorithm,device,size_bytes,rounds,enc_ms_mean,enc_ms_median,enc_ms_std,enc_ms_min,enc_ms_max,dec_ms_mean,dec_ms_median,dec_ms_std,dec_ms_min,dec_ms_max,total_time_ms_mean,total_time_ms_median,total_time_ms_std,total_time_ms_min,total_time_ms_max,energy_J_mean,energy_J_median,energy_J_std,energy_J_min,energy_J_max,enc_mem_bytes_mean,enc_mem_bytes_median,enc_mem_bytes_std,enc_mem_bytes_min,enc_mem_bytes_max,dec_mem_bytes_mean,dec_mem_bytes_median,dec_mem_bytes_std,dec_mem_bytes_min,dec_mem_bytes_max,total_mem_bytes_mean,total_mem_bytes_median,total_mem_bytes_std,total_mem_bytes_min,total_mem_bytes_max,throughput_kb_per_ms_mean,throughput_kb_per_ms_median,throughput_kb_per_ms_std,throughput_kb_per_ms_min,throughput_kb_per_ms_max,size_kb,size_mb
ElGamal,D1,1024,5,13.6280364,13.682246,0.6326833888528286,12.702615,14.42243,13.3578842,13.651407,1.0964843533946118,11.859907,14.676623,26.985920599999996,27.085691,1.561461670586027,25.397792,29.099052999999998,0.000137001384,0.000137001384,0.0,0.000137001384,0.000137001384,16384.0,16384.0,0.0,16384,16384,9830.0,9830.0,0.0,9830,9830,26214.0,26214.0,0.0,26214,26214,0.03715491542577209,0.03691986296380624,0.002130688028016713,0.03436537951939536,0.039373501444535025,1.0,0.0009765625
ElGamal,D1,2048,5,15.2842782,15.180369,0.6852865648797586,14.629323,16.249723,14.892144400000001,15.130677,0.5268755419368976,14.0744,15.34373,30.176422600000002,29.938223,1.0884920391582118,28.703723,31.593453,9.708591600000001e-05,9.708591600000001e-05,0.0,9.708591600000001e-05,9.708591600000001e-05,26869.2,26214.0,897.1695491934622,26214,27852,15400.6,14745.0,897.717271750967,14745,16384,42269.8,40959.0,1794.8868209444288,40959,44236,0.0663461121246807,0.06680423216835549,0.0023994136160329776,0.06330425484039368,0.06967737251366313,2.0,0.001953125
ElGamal,D1,4096,5,15.2140796,15.243715,0.5074977493987539,14.636215,15.924461,14.8675534,14.663838,0.5170667680975061,14.538638,15.7803,30.081633,30.023668,0.5819822960928458,29.300053,30.686799,0.000100958904,0.00010095890400000001,0.0,0.00010095890400000001,0.00010095890400000001,46530.2,45875.0,897.1695491934618,45875,47513,27196.8,27852.0,897.1695491934622,26214,27852,73727.0,73727.0,1158.2409075835649,72089,75365,0.13301146866107275,0.13322822514557514,0.002582323262277481,0.13034920976932132,0.13651852438628695,4.0,0.00390625
ElGamal,D1,8192,5,15.3009872,15.106338,0.47566914668464644,14.914584,16.037015,15.3025104,15.358923,0.363200342895351,14.764638,15.667877,30.603497600000004,30.493014000000002,0.6136833152569823,29.701691,31.179699,9.971135999999999e-05,9.971136e-05,0.0,9.971136e-05,9.971136e-05,88473.0,88473.0,0.0,88473,88473,47840.8,47513.0,732.9830830244313,47513,49152,136313.8,135986.0,732.9830830244302,135986,137625,0.26149282552768277,0.26235517420481946,0.0052864766057717965,0.25657720428923964,0.26934493392985603,8.0,0.0078125
ElGamal,D1,16384,5,15.4580906,14.913577,1.0487545510179204,14.851023,17.304223,15.5895012,15.447876,0.3023561860433819,15.266092,15.914492,31.0475918,30.352399,1.2865539296328379,30.117115,33.218715,0.00010525967999999998,0.00010525968,0.0,0.00010525968,0.00010525968,187104.8,186777.0,732.9830830244323,186777,188416,108625.4,108953.0,732.5358694289295,107315,108953,295730.2,295730.0,1158.594493340962,294092,297369,0.5160182193285618,0.5271411989543232,0.020528037304501784,0.481656198922806,0.5312593852366005,16.0,0.015625
ElGamal,D1,32768,5,16.446982600000002,16.078315,1.6219683970371628,14.951138,19.221053,17.138278,16.919969,0.5539545279984641,16.751053,18.094992,33.5852606,33.259899000000004,1.5951066338170934,31.751199,35.972106,0.000120616884,0.00012061688399999999,0.0,0.00012061688399999999,0.00012061688399999999,343408.4,344064.0,897.7172717509679,342425,344064,190873.0,190873.0,0.0,190873,190873,534281.4,534937.0,897.717271750978,533298,534937,0.954489233985013,0.9621195782945702,0.04452391108883961,0.8895781637027314,1.007835956053187,32.0,0.03125
ElGamal,D1,65536,5,16.6295674,16.168892,0.8616424594472469,16.136523,18.139623,24.7423086,24.979876,0.5100639194363786,23.90283,25.183146,41.371876,41.181722,0.995232551465988,40.039353000000006,42.772484,0.00016406928000000002,0.00016406928000000002,0.0,0.00016406928000000002,0.00016406928000000002,663552.0,663552.0,0.0,663552,663552,354713.0,354713.0,0.0,354713,354713,1018265.0,1018265.0,0.0,1018265,1018265,1.5476597007431299,1.554087514844571,0.03716924798239532,1.4962890628470398,1.5984274271364973,64.0,0.0625
ElGamal,D1,131072,5,22.1456704,21.991884,0.8080173172719128,21.177053,23.053046,32.4339304,32.37803,1.2296525899538846,30.830592,33.8119,54.5796008,54.751253,1.6205929268371846,52.007645,56.337846,0.00028731978,0.00028731978,0.0,0.00028731978,0.00028731978,665414.4,665743.0,735.331081894406,664099,665744,685670.0,685670.0,0.0,685670,685670,1351084.4,1351413.0,735.3310818944142,1349769,1351414,2.3468871926309527,2.337846039797482,0.07111267600614887,2.272007346535755,2.461176621244819,128.0,0.125
ElGamal,D1,262144,5,31.954352,31.691038,1.669934051832737,30.105007,34.621777,36.7676486,36.70473,0.34355180704705995,36.365661,37.254553,68.7220006,68.486399,1.7872235079047334,66.675591,71.564492,0.00045355212,0.00045355212,0.0,0.00045355212,0.00045355212,994900.0,970894.0,109795.89517600372,892251,1149480,776812.8,777140.0,732.2005872709906,775503,777141,1771712.8,1748035.0,109220.59779272406,1669391,1924983,3.727139425355289,3.737968468746619,0.09548173617349427,3.577193002362121,3.8394860272029687,256.0,0.25
Elephant,D1,1024,5,15.045765800000002,15.105661,1.0963832273036194,13.409446,16.104246,15.3845104,15.219223,0.8025302046675875,14.551261,16.671823,30.4302762,30.324883999999997,1.8085925952227884,27.960707,32.637084,0.00022340807999999998,0.00022340807999999998,0.0,0.00022340807999999998,0.00022340807999999998,73072.4,73728.0,897.7172717509679,72089,73728,68156.8,68812.0,897.1695491934618,67174,68812,141229.2,142540.0,1794.8868209444279,139263,142540,0.03295611371352144,0.03297621847457026,0.0019815554927942306,0.030639992224795572,0.03576447476810941,1.0,0.0009765625
